ID,Car_Owned,Bike_Owned,Active_Loan,House_Own,Loan_Contract_Type,Default
12142509,0,0,1,0,0,0
12181264,0,0,1,0,0,0
12133385,1,0,1,0,0,0
12191614,0,1,1,1,0,0
12100935,0,0,1,1,1,0
12191210,0,0,0,0,0,0
12196064,0,1,1,1,0,0
12105180,1,0,0,1,0,0
12114826,1,1,1,0,1,0
12141963,1,0,1,0,0,0
12193649,0,1,1,1,0,0
12190554,1,0,1,0,0,0
12105063,1,0,0,0,0,0
12217297,0,0,1,1,0,0
12190755,1,0,0,1,0,0
12162956,1,0,0,0,0,0
12108653,0,0,0,1,0,0
12199634,0,0,1,1,1,1
12190165,1,0,0,1,0,0
12184202,0,1,0,0,0,0
12117444,0,0,1,1,0,0
12130231,1,1,0,1,0,0
12136962,0,0,0,1,0,0
12217931,1,0,0,1,0,0
12102829,1,1,1,1,0,0
12114200,1,0,0,1,1,0
12172556,0,0,1,1,0,0
12183154,0,0,1,1,0,0
12121159,0,0,0,1,0,0
12113801,0,0,0,0,0,0
12162884,1,0,0,1,0,0
12172063,0,1,0,1,0,0
12147722,0,0,1,1,0,0
12215412,0,1,1,0,0,0
12121092,1,0,1,1,0,0
12111542,1,1,0,0,0,0
12125863,0,0,0,0,0,0
12106543,0,1,0,0,0,0
12139322,0,0,0,1,1,0
12219323,1,0,1,1,0,0
12205360,0,0,0,0,0,1
12141227,0,0,0,1,0,0
12181435,1,1,1,1,0,0
12118447,0,0,0,1,0,0
12203037,1,0,1,1,1,0
12148399,0,0,1,0,0,0
12115142,0,0,0,1,0,0
12114196,0,0,0,0,0,0
12174291,1,0,0,1,0,0
12104416,0,0,0,1,0,0
12199861,0,0,1,0,0,0
12121870,0,0,1,1,0,0
12192978,1,0,1,1,0,1
12200098,0,0,1,1,0,0
12165536,0,0,1,0,0,0
12118605,0,0,1,0,0,0
12103426,1,0,1,1,0,0
12127046,1,0,0,1,0,0
12172658,0,1,1,1,0,0
12167610,0,1,1,1,0,0
12134948,0,0,0,1,0,0
12126145,1,1,0,1,0,0
12209812,0,0,0,0,0,0
12104925,0,1,0,1,1,0
12220599,0,1,0,0,0,0
12191036,1,1,1,1,0,0
12103508,0,0,0,0,0,1
12159408,0,0,1,0,0,0
12152611,1,0,0,1,0,0
12150234,1,0,0,0,0,1
12132704,0,1,0,1,0,0
12107566,0,0,1,1,0,0
12210150,1,0,1,1,0,0
12191986,1,0,1,1,1,0
12180256,0,0,1,1,0,0
12134312,1,1,1,0,0,0
12107672,1,1,0,0,0,0
12104322,1,0,1,0,0,0
12151297,0,1,0,1,0,0
12195088,0,0,0,0,0,1
12151669,0,0,0,0,0,0
12131886,0,1,1,1,0,0
12219355,0,0,1,1,1,0
12210912,0,0,0,1,0,0
12183982,0,1,1,0,0,0
12167399,0,0,0,0,0,0
12113413,0,1,1,1,0,0
12104033,1,0,0,1,0,0
12170397,1,1,1,1,0,0
12210777,1,1,0,1,0,0
12118002,1,0,0,1,0,0
12208625,0,0,0,0,0,0
12186954,0,0,0,1,0,1
12141593,1,1,0,1,0,0
12202193,1,0,1,1,1,0
12201745,1,1,0,1,0,0
12197171,0,1,1,0,0,0
12179896,0,1,1,1,0,0
12159662,1,1,0,1,0,0
12178498,1,1,0,1,0,0
12106834,0,0,1,0,0,0
12135325,0,0,1,1,0,1
12159457,0,0,1,1,0,0
12197657,1,0,0,0,0,0
12143833,0,0,1,1,0,0
12211396,1,1,1,1,0,0
12172008,1,0,0,0,0,0
12163472,0,0,1,1,0,0
12214356,0,0,1,1,0,0
12216018,0,0,1,0,1,0
12209896,0,0,0,0,0,0
12142943,1,0,1,1,0,0
12189199,1,0,1,0,0,0
12191033,1,0,1,0,0,0
12121558,0,0,1,1,0,0
12195165,0,0,1,1,0,0
12118511,0,0,0,1,0,0
12137135,0,0,1,1,0,0
12194595,0,1,0,1,0,0
12100223,1,1,0,1,1,0
12164478,0,1,0,1,0,0
12156944,0,1,1,1,0,0
12218716,0,0,0,0,0,0
12200462,0,1,0,0,0,0
12206797,0,0,0,0,0,0
12179761,1,1,1,1,0,0
12153165,0,0,1,1,0,0
12218735,0,1,0,1,0,0
12174727,0,0,0,0,0,0
12149388,1,0,1,1,0,0
12160682,0,0,1,0,0,0
12191314,1,0,0,1,1,0
12149090,0,0,1,1,0,0
12101940,1,0,0,1,0,0
12183082,1,1,1,1,0,1
12111102,1,1,1,0,0,0
12109979,0,0,0,1,0,1
12172536,1,0,1,1,0,0
12161860,0,1,0,0,0,0
12140223,0,0,0,0,0,0
12186052,0,0,0,1,0,0
12118381,1,1,0,1,0,1
12205139,0,0,1,1,0,0
12198661,0,1,0,0,0,0
12196898,0,0,0,1,0,0
12202030,0,1,1,1,1,0
12202973,0,0,0,1,1,0
12178207,1,0,0,1,0,0
12152500,0,1,1,1,0,0
12178115,1,1,1,0,0,0
12116854,0,1,1,1,1,0
