ID,Default,Client_Income_Type_Govt Job,Client_Income_Type_Service,Client_Education_College_Dropout,Client_Education_High_School,Client_Education_Middle_School,Client_Marital_Status_M,Client_Marital_Status_S,Client_Marital_Status_W
12142509,0,0,0,0,1,0,1,0,0
12181264,0,0,1,1,0,0,0,0,1
12133385,0,0,0,0,1,0,1,0,0
12191614,0,0,1,0,1,0,0,0,1
12100935,0,1,0,0,0,0,0,1,0
12191210,0,0,1,0,0,0,1,0,0
12196064,0,0,1,0,1,0,0,1,0
12105180,0,0,0,0,1,0,1,0,0
12114826,0,0,1,0,1,0,1,0,0
12141963,0,0,1,0,1,0,1,0,0
12193649,0,0,0,0,1,0,1,0,0
12190554,0,0,0,0,1,0,1,0,0
12105063,0,0,1,0,1,0,1,0,0
12217297,0,0,1,0,1,0,0,1,0
12190755,0,0,1,0,1,0,0,0,0
12162956,0,0,0,0,0,0,1,0,0
12108653,0,0,1,0,1,0,1,0,0
12199634,1,0,1,0,1,0,1,0,0
12190165,0,0,1,0,0,0,1,0,0
12184202,0,0,1,0,1,0,0,1,0
12117444,0,0,1,0,1,0,1,0,0
12130231,0,0,0,0,1,0,1,0,0
12136962,0,1,0,0,1,0,0,0,0
12217931,0,0,1,0,1,0,1,0,0
12102829,0,0,1,1,0,0,1,0,0
12114200,0,0,0,1,0,0,1,0,0
12172556,0,0,0,0,0,0,1,0,0
12183154,0,0,1,0,1,0,0,1,0
12121159,0,0,1,0,0,0,1,0,0
12113801,0,0,1,1,0,0,0,0,0
12162884,0,0,1,0,0,0,1,0,0
12172063,0,0,1,0,1,0,1,0,0
12147722,0,0,1,0,1,0,1,0,0
12215412,0,0,1,0,1,0,0,1,0
12121092,0,0,1,0,0,0,1,0,0
12111542,0,1,0,0,0,0,1,0,0
12125863,0,0,1,0,1,0,0,0,0
12106543,0,0,0,0,1,0,0,1,0
12139322,0,0,0,0,0,0,1,0,0
12219323,0,0,1,0,0,0,0,0,1
12205360,1,0,1,0,0,0,0,1,0
12141227,0,0,1,0,1,0,0,1,0
12181435,0,0,0,0,0,0,1,0,0
12118447,0,0,1,0,1,0,0,1,0
12203037,0,0,0,0,1,0,1,0,0
12148399,0,0,1,0,1,0,1,0,0
12115142,0,0,1,0,1,0,1,0,0
12114196,0,0,1,0,1,0,1,0,0
12174291,0,0,1,0,1,0,1,0,0
12104416,0,0,1,0,1,0,1,0,0
12199861,0,0,0,0,1,0,1,0,0
12121870,0,0,1,1,0,0,1,0,0
12192978,1,0,0,0,1,0,0,0,0
12200098,0,0,0,0,0,0,1,0,0
12165536,0,0,1,0,0,0,1,0,0
12118605,0,0,1,0,1,0,1,0,0
12103426,0,0,1,0,1,0,1,0,0
12127046,0,0,0,0,1,0,1,0,0
12172658,0,0,1,0,1,0,1,0,0
12167610,0,0,1,0,1,0,1,0,0
12134948,0,0,1,0,1,0,1,0,0
12126145,0,0,1,0,0,0,1,0,0
12209812,0,0,1,0,1,0,1,0,0
12104925,0,0,1,0,1,0,0,0,1
12220599,0,0,1,0,1,0,0,1,0
12191036,0,0,1,0,1,0,1,0,0
12103508,1,0,1,0,1,0,1,0,0
12159408,0,0,1,0,1,0,1,0,0
12152611,0,0,0,0,1,0,1,0,0
12150234,1,0,1,0,1,0,1,0,0
12132704,0,1,0,0,1,0,1,0,0
